sequence,topic_id,sentiment
problem repair shop clean wrong,8,-0.06666666666666665
time,2,0.0
figure cheap finish seam quickly project easy,0,0.3888888888888889
research find need brother d excellent choice,2,1.0
sewing machine brother strong,0,0.43333333333333335
pleasantly surprised machine,2,0.1
think noisy,7,0.0
thread catcher way small,1,-0.25
attach old machine cause vibrate bad,7,-0.29999999999999993
seam swipe trash,0,0.0
threading easy hang,1,0.43333333333333335
receive machine thread low looper mess probably shipping fix,1,-0.0875
probably minute,2,0.0
follow instruction picture helpful problem,4,0.0
guess time pay,2,0.0
serger easy use smart,0,0.3238095238095238
use commercially amazed durable work machine pure convenience switch control cut blade instead manually lift major plus,0,0.09226190476190477
minute right box able use ease,3,0.39285714285714285
good price amazon free shipping,3,0.55
like woman afraid serger,0,-0.6
recieve new brother serg tuesday box place sewing table look today,0,0.13636363636363635
little time machine love,2,0.15625
review page second reason buying information need,3,0.0
thank,5,0.0
beginner experienced brother serger,0,0.8
brother brand pace way,2,0.0
good quality user friendly cost great,3,0.625
review heart buy product confidence,3,0.0
enjoy,5,0.4
know want serger limited budget,0,-0.07142857142857142
brother d layin thread serger great choice affordable simple serger,0,0.4
brand familiar feature come handy,2,0.4875
fix tension easy adjustable thread holder arm great save space,1,0.6166666666666667
little number machine mean know exactly thread,1,-0.08333333333333333
come different colored thread set position component stitch follow easily machine learn rethreade,1,0.21666666666666667
actually like fun look color end use project run,1,0.15
experience serger mind color thread serge immediately,0,0.0
think work machine minute open box,3,0.0
watch tutorial need,4,0.0
sew year serger,0,0.0
serger great value especially extra foot trim trap,0,0.4
find threading fairly easy operation smooth stitch tension easy adjust,1,0.4222222222222222
sew year slightly spook serger,0,-0.16666666666666666
use supply instructional dvd learn machine use thrilled result,4,0.6
use daily zero complaint operation capability machine,2,-0.15
able fine tune necessary operative stress state home usage brother claim error,2,0.3055555555555556
update march year original review,3,0.375
occasional oiling attention receive,7,0.0
break needle,1,0.0
recieve serger week pleased,0,0.5
think use machine lot regular sewing machine,0,0.0
dread change spool thread hear difficult serger,0,-0.5
machine difficult big relief,1,-0.25
actually cheat use tying thread spool pull thread machine needle thread,1,0.0
love neat compact opion quiet,7,0.25
use card table cardboard maybe absorb extra noise,7,0.0
practice scrap day tie big spool change thread,1,0.0
work,2,0.0
remember slowly catch knot eye needle,1,-0.30000000000000004
thing store place little label lever dial instruction tension updown etc,1,-0.1875
,5,0.0
good try different colored thread help dial need tension adjustment,1,0.35
remove needle stitch fingervery easy attempt blind hem sewing,1,-0.033333333333333326
use blind stitch attachment try attachment blind stitch bit long taste,0,-0.35000000000000003
hem pant weekend plain serging hand hemming look great,0,0.29285714285714287
week happy purchase hope year,3,0.8
buy serg read review mean item actually,3,-0.15625
item definitely,3,0.0
threading instruction foolproof think blue thread thread instead thread thread thread cause thread break seam easy thread,1,0.21666666666666667
drawback cut knife strong serger pain thread tradeoff sew straight pin knife break,0,0.31666666666666665
nice brother throw replacement knife thing break usually break inopportune moment middle seam,0,0.11666666666666665
box set,3,0.0
read instruction easy thread start sew immediately adjust tension use old old serger spend time adjust tension sewing spaze order hope,1,0.2111111111111111
love,5,0.5
sure negative review wrong thread looper correct order thread break true machine,1,0.012499999999999997
machine deliver simple use easy thread fast,1,0.2111111111111111
important want fashion industry sewing,0,0.4
think great machine easy use thread,1,0.6166666666666667
friendly machine,2,0.375
serg pleasantly surprised easy thread able thread spool thread time try watch helpful instruction video come serger serge hour machine leave beautiful stitch user friendly highly recommend serger especially time user wrong brother easily understand instruction video able project half time serger wish buy year ago save time brother d excellent product affordable price pay need serger happy customer,0,0.34500000000000003
receive brother d yesterday excellent experience far,2,0.55
second hand serg year end trash,6,0.0
completely rethreade thing serg cone exhaust thread come unit,1,0.1
tidy old project morning hitch,2,0.35
cd user guide adequate,4,0.3333333333333333
excellent value usability,3,1.0
male wrong,5,-0.25
probably new serge low looper threading hard,1,-0.051767676767676775
remember follow blue line machine carefully bring thread upper looper,1,-0.03333333333333333
machine learn thing add new level creativity sewing,0,0.13636363636363635
machine cover chain stitch look lot sewing knit machine useful,0,0.3
need basic serger great machine start,0,0.4
sew life want serger,0,0.0
love came thread ready watch instructional video afternoon,1,0.35
easy use,2,0.43333333333333335
love machine,2,0.5
remember start sew cast iron white machine,0,0.0
professional custom work christen gown furniture drape,0,0.1
sister law talk serger year ago,0,0.0
machine reliable,2,0.0
aside shipping issue experience arrive foot lever break return replacement work time use,0,0.0
home sewer low key professional great machine,0,0.225
complaint threading system,1,-0.3
stitch consistent thread,1,0.25
machine know step thread ask catch pull clamp reciprocal hole,1,0.0
machine require try work low tension,1,0.0
wrap pull poke thread find catch cut thread start,1,0.0
god forbid change thread break half hour clamp work,1,-0.16666666666666666
brother d serg month love,2,0.5
use thread overlock thread overlock stitch roll hem feature,1,0.0
bit noisy regular sewing machine stitch fast,7,0.1
perfect sewing knit activewear like swimsuit skate costume great job finish edge hem sort fabric,0,0.9
wonderful,5,1.0
omg youth,0,0.0
new sew concern serger,0,0.13636363636363635
work wonderfully,2,1.0
suggestion follow tip tie new thread old thread machine,1,0.11818181818181818
let original thread run twice emotional experience thread,1,0.1875
follow simple direction fine,4,0.20833333333333334
great machine certainly good value,2,0.75
easytofollow instruction threading,1,0.0
try tension right,1,0.2857142857142857
think serger obviously machine topoftheline machine,0,0.0
cost,3,0.0
sew year love machine,0,0.5
quiet running machine compare lot,7,0.0
perment threading color chart helpful,1,0.0
glad purchase,3,0.5
want serger year want investment serge class high end store,0,0.16
serger learn additional foot,0,0.0
review brother serg research online,2,0.0
purchase happy serger,0,0.8
come dvds find easy understand,4,0.43333333333333335
d want serger month,0,0.0
buy expensive great review think ill use sound perfect,3,0.24000000000000005
come w instructional dvd work mac computer late os totally surprise thread machine time read manual,4,-0.15
easy,2,0.43333333333333335
tricky figure right tension think case w computerize serger,1,0.2857142857142857
issue sort loud sewing ruffle foot gather tightly,7,-0.039285714285714285
use wrong follow instruction manual,4,-0.5
overall love serger,0,0.25
happy,5,0.8
oh yeah buy thread joanns .spool,1,0.0
great deal,3,0.8
christmas gift mother money purchase serger,0,0.0
purchase serger idea want start use,0,0.0
love,5,0.5
serger come awesome instruction run time,0,1.0
buy serger wife birthday,0,0.0
purchase serg love,6,0.5
work week stop,2,0.0
warranty brother authorize fix,2,0.0
impossible motor brother refuse doanythe try track,2,-0.6666666666666666
sit shop week time warranty run,8,0.0
satisfaction brother amazon,2,0.0
wonderful replace machine completely chargesto,2,0.55
ship old machine free,2,0.25
great amazon work,3,0.8
serg actually practice,6,0.0
buy gemsy thread horrible machine,1,-1.0
hard thread,1,-0.2916666666666667
buy gemsy thread machine,1,0.0
use sewing machine standard sewing machine conventional,0,-0.07142857142857142
brother serger easy thread color code extra foot,1,0.21666666666666667
great price,3,0.8
thing tension,1,0.0
learn tension,1,0.0
serg computerize somewhat,6,0.0
time change tension adjust right away,1,0.2857142857142857
continue sew minute adjust set,0,0.0
careful test scrap change tension,1,-0.1
wish brother international company fix tension problem easy use,1,0.21666666666666667
brother amazon excellent customer service,2,1.0
sit unopened original box open use gift early december learn need gift,3,0.15833333333333333
open watch dvds read manual book serging try use,4,0.0
looper collide,1,0.0
phone brother tech support result tell service warranty expire day purchase local authorize brother service place,2,0.0
original box bear evidence whatsoever damage,3,0.375
,5,0.0
spend pay machine drive total mile tofrom repair shop brand new straightoutofthebox machine repair,2,0.06818181818181818
word shipping damage brother customer support tech try cite problem feasibly,2,0.0
mortify item gift recipient spend fix,3,0.0
furious pay brand new item repair brother customer support bother honor promise callback,2,0.13636363636363635
extremely disappointed brother brand trust experience,2,-0.75
brother item printer sewing machine perform like workhorse,0,0.0
old brother item recent product,2,0.05
suspect company brother decide produce cheap money possibly care product performseven straight box,2,0.20000000000000004
advice buy brother item long good conscience recommend grant work,2,0.32499999999999996
buy advance birthdayholidaywhatever expect brother support help,2,0.0
easy operate thrilled infinity dress,0,0.5166666666666666
worried thread machine,1,0.0
good news lot good instructional video youtube,4,0.7
video come machine old outdated run window computer,4,-0.15000000000000002
worth quick look youtube video,4,0.31666666666666665
come reel thread place,1,0.0
good tip run thread tie new thread end let run right machine,1,0.374025974025974
work right needle,1,0.2857142857142857
thread needle eye problem,1,0.0
beginner like think machine help stretchy fabric,0,0.0
absolutely love,5,0.5
choose amazon stand buyer policy sure purchase order happy,3,0.65
mail honest little intimidate thread thing,1,0.20625
box read direction thread time sew nicely,0,0.6
receive serger thing break hear brother co.,0,0.0
weither replace yetleft hang,1,0.0
hear tricky thread trouble especially watch couple tutorial video yt,1,-0.1
learn tie thread rethread time help,1,0.0
dvd watchable mac brother video find yt bit date,4,0.0
glad purchase,3,0.5
easy use learn thread hour,1,0.43333333333333335
video tube instruction happy user,4,0.8
learn class serge seam right,0,0.2857142857142857
great price good product,3,0.75
wish selfthread,1,0.0
pleased brother d.,2,0.5
use serger little use,0,-0.1875
thank,5,0.0
luckily check amazon,3,0.3333333333333333
com save money include pay shipping item,3,0.0
serg love,6,0.5
learn,2,0.0
hard learn,2,-0.2916666666666667
buy sister christmas,3,0.0
slow try buy early year,3,-0.10000000000000002
love serg experience learning curve,6,0.5
couple thing stop high rating instruction provide good,4,0.43
provide dvd helpful narrator block view small screen mode big,4,-0.125
search youtube find good instruction,4,0.7
sew kid year young use serger,0,0.1
great machine,2,0.8
video come machine big help,4,0.0
wait come item serge machine,0,0.0
come prethreade different colored string easily thread,1,0.21666666666666667
dvd follow thread able thread try minute,4,0.5
work,2,0.0
yam break thread rethreade,1,0.0
instant reship,3,0.0
love,5,0.5
serger easy thread use come optional foot blind gathering,0,-0.033333333333333326
use regular thread needle,1,0.0
con instructional disc cd dvds,4,0.0
buy serg,6,0.0
arrive thread immediately break user error able fix minute look manual table content,1,0.5
idea involved ill straight box serge ease,0,-0.15
like ease thread,1,0.0
th serger great step,0,0.8
buy start diaper stash,0,0.0
plow throw thick heavy soaker thin flannel wipe perfectly,0,0.024999999999999994
serg tweak setting nice color code machine book trouble shoot,1,0.19999999999999998
sew year believe use,0,0.0
seriously understand problem serger,0,-0.3333333333333333
threading read manual issue serger far,0,0.1
happy buyer,3,0.8
job perfectly love,2,0.5
stitch perfect,0,1.0
love serger,0,0.5
easy thread easy operate beautiul result,1,0.43333333333333335
recommend dvds come uber helpful clear easy follow,4,0.26666666666666666
plenty helpful hint online project assistance,2,0.0
thank,5,0.0
able use right box little help variety awesome youtube video find useful box vid able use feature want try far,4,0.3568877551020408
month use project pay,2,0.0
excellent machine want serge definitely choose brother upgrade coveted coverstitch,0,0.5
good thing serger,0,0.7
use serg half hour try new technique master week handmade clothing look professionally finish neat cut time nearly half sweetcheeksyou,0,-0.02424242424242424
wow impressed serger especially price,0,0.3666666666666667
easy thread hang totally functional,1,0.21666666666666667
easy color code threading inside,1,0.43333333333333335
year bit squeaky,3,0.0
probably need oil,7,0.0
use day everyday job,2,-0.2
totally great value,3,0.8
love itps,5,0.5
bravo amazon prompt delivery item,3,0.0
unpack test serg initial impression favorable,6,0.0
knife blade mechanism cut underneath sewing plate,0,0.0
welcome abundant accessory come unit include additional foot pair extra needle size informative cd dvd etc thread unit super easy compare previous experience serger,0,0.3333333333333333
wish machine motor run bit fast,7,0.2
bit spoil industrial unit use past,2,-0.25
motor noise fairly low,7,0.0
unit continue perform,2,0.0
tempt buy store serger backup,0,0.0
buy machine good luck brother product review,2,0.7
happy come dvd computer video explain use,4,0.8
serger year pain thread,0,0.0
machine come prethreade colored thread,1,0.0
happy purchase,3,0.8
new sewing serge,0,0.13636363636363635
brother serger comes thread change thread fairly easy,0,0.43333333333333335
hang routine,1,0.0
